"objectUser","parentFilePath","processFilePath","objectFilePath","processCmd","fill","stroke","shape","label","image","signed"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.1911.3-0\MpOAV.dll","""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"phil.webb","C:\Windows\System32\svchost.exe","","","""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\svchost.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\1abd8de7b1afcc673a7a8c3d15a86324\System.Management.Automation.ni.dll","""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"zuzanna.majgier","C:\Windows\System32\svchost.exe","","","""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\svchost.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\1abd8de7b1afcc673a7a8c3d15a86324\System.Management.Automation.ni.dll","""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"GLOBAL\alexa.johnson","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"PSSE\psn.paul.wild","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\zuzanna.majgier","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\naved.hakim","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\Alice.Goodman","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\Jovan.Trkulja","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\saif.uddin","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\manoj.kumar1","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\Mayur.Rane","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\katerina.krejzlova","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\Kay.Aston","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\Paul.Holmes","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\Amit.Sulakhe","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\david.embrey","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\Marcelle.Collins","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\rclapp","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"PSSE\psn.Daniel.Ellison","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\amol.waghade","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\frankwal","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
